d1,c1,d2,c2,d3,c3,cluster
34.0,0.78,48.0,2.15,31.0,0.0967,1
34.0,1.435,52.0,1.388,31.0,0.089,1
32.0,1.12,52.0,0.55,31.0,0.228,1
44.0,1.12,50.0,2.75,31.0,0.186,1
7.0,1.2,52.0,1.2,31.0,0.06,2
44.0,1.0,50.0,2.8,31.0,0.16,1
8.0,0.8,48.0,2.93,31.0,0.125,2
32.0,1.13,52.0,0.51,31.0,0.18,1
31.0,0.105,7.0,1.346,38.0,0.839,1
34.0,1.21,52.0,1.08,31.0,0.061,1
44.0,1.02,50.0,2.75,31.0,0.162,1
44.0,1.0,50.0,2.85,31.0,0.163,1
31.0,0.105,7.0,1.346,54.0,0.839,1
7.0,1.16,54.0,0.66,31.0,0.0745,2
7.0,1.5,52.0,1.43,31.0,0.097,2
31.0,0.105,9.0,1.391,54.0,0.88,1
44.0,1.04,50.0,2.7,31.0,0.165,1
7.0,1.23,48.0,2.1,31.0,0.061,2
34.0,1.19,52.0,1.203,31.0,0.058,1
7.0,1.485,48.0,2.7,31.0,0.088,2
34.0,1.43,52.0,1.385,31.0,0.086,1
7.0,1.16,54.0,0.66,31.0,0.0745,2
44.0,1.1,50.0,2.72,31.0,0.17,1
32.0,1.14,52.0,0.52,31.0,0.22,1
7.0,1.37,48.0,2.68,31.0,0.09,2
34.0,1.198,52.0,1.183,31.0,0.055,1
44.0,0.841,50.0,2.69,31.0,0.1465,1
34.0,0.47,48.0,1.2,31.0,0.055,1
34.0,1.44,52.0,1.42,31.0,0.092,1
44.0,1.1,50.0,3.15,31.0,0.18,1
7.0,1.26,48.0,2.278,31.0,0.063,2
8.0,0.83,48.0,2.9,31.0,0.123,2
34.0,1.2,52.0,1.1,31.0,0.048,1
34.0,0.781,48.0,1.84,31.0,0.0688,1
44.0,0.839,50.0,2.6,31.0,0.142,1
44.0,1.0,50.0,3.7,31.0,0.2,1
34.0,0.645,48.0,1.597,31.0,0.072,1
44.0,0.84,50.0,2.57,31.0,0.143,1
44.0,0.92,50.0,2.785,31.0,0.169,1
7.0,1.18,54.0,0.69,31.0,0.076,2
50.0,3.7,44.0,1.18,31.0,0.22,1
44.0,0.81,50.0,3.0,31.0,0.12,1
44.0,1.05,50.0,3.7,31.0,0.195,1
7.0,0.54,48.0,1.5,31.0,0.052,2
44.0,0.834,50.0,2.53,31.0,0.135,1
7.0,1.26,48.0,2.14,31.0,0.06,2
44.0,1.0,50.0,3.7,31.0,0.18,1
7.0,1.155,52.0,1.083,31.0,0.0625,2
44.0,1.09,50.0,2.7,31.0,0.168,1
34.0,0.7,48.0,1.62,31.0,0.061,1
