d1,c1,d2,c2,d3,c3,cluster
8.0,0.285,27.0,0.18,35.0,0.75,1
8.0,0.28,27.0,0.18,35.0,0.81,1
8.0,0.275,27.0,0.18,35.0,0.8,1
32.0,0.327,27.0,0.14,35.0,0.877,1
32.0,0.319,27.0,0.15,35.0,0.845,1
16.0,0.03,55.0,1.5,66.0,0.55,2
18.0,0.197,27.0,0.177,35.0,0.605,1
18.0,0.18,27.0,0.17,35.0,0.48,1
18.0,0.18,27.0,0.17,35.0,0.48,1
18.0,0.175,27.0,0.162,35.0,0.47,1
18.0,0.175,27.0,0.162,35.0,0.47,1
18.0,0.174,27.0,0.17,35.0,0.469,1
18.0,0.174,27.0,0.17,35.0,0.469,1
19.0,0.29,27.0,0.236,35.0,0.67,1
19.0,0.2195,27.0,0.212,35.0,0.66,1
19.0,0.223,27.0,0.212,35.0,0.67,1
19.0,0.219,27.0,0.212,35.0,0.675,1
16.0,0.43,27.0,0.54,35.0,0.59,1
16.0,0.435,27.0,0.535,35.0,0.595,1
19.0,0.2,27.0,0.175,35.0,0.61,1
19.0,0.2,27.0,0.175,35.0,0.61,1
19.0,0.18,27.0,0.17,35.0,0.53,1
19.0,0.18,27.0,0.17,35.0,0.53,1
16.0,0.52,21.0,0.43,31.0,0.55,1
16.0,0.52,21.0,0.43,31.0,0.55,1
32.0,0.62,27.0,0.43,35.0,0.566,1
32.0,0.62,27.0,0.43,35.0,0.566,1
32.0,0.621,27.0,0.45,35.0,0.581,1
32.0,0.621,27.0,0.45,35.0,0.581,1
16.0,0.084,27.0,0.243,35.0,0.9,1
16.0,0.085,27.0,0.247,35.0,0.92,1
16.0,0.086,27.0,0.25,37.0,0.94,1
16.0,0.495,27.0,0.613,35.0,0.68,1
16.0,0.48,27.0,0.596,35.0,0.642,1
16.0,0.0674,55.0,1.528,66.0,0.706,2
16.0,0.0674,55.0,1.528,66.0,0.706,2
19.0,0.223,27.0,0.195,35.0,0.719,1
19.0,0.223,27.0,0.195,35.0,0.719,1
19.0,0.22,27.0,0.19,35.0,0.7,1
19.0,0.22,27.0,0.19,35.0,0.7,1
16.0,0.373,21.0,0.372,31.0,0.395,1
7.0,0.387,27.0,0.055,35.0,0.668,1
7.0,0.395,27.0,0.055,37.0,0.69,1
7.0,0.495,27.0,0.065,35.0,0.882,1
7.0,0.67,23.0,0.136,31.0,0.48,1
7.0,0.65,23.0,0.14,31.0,0.475,1
7.0,0.54,23.0,0.495,64.0,1.335,2
7.0,0.545,23.0,0.573,64.0,1.38,2
7.0,0.545,23.0,0.573,64.0,1.38,2
7.0,0.55,23.0,0.579,64.0,1.4,2
7.0,0.545,23.0,0.575,64.0,1.385,2
7.0,0.545,23.0,0.575,64.0,1.385,2
7.0,0.55,23.0,0.579,64.0,1.425,2
7.0,0.55,23.0,0.579,64.0,1.425,2
34.0,0.56,23.0,0.585,64.0,1.344,2
34.0,0.565,23.0,0.588,64.0,1.358,2
34.0,0.58,23.0,0.565,64.0,1.36,2
34.0,0.59,23.0,0.56,64.0,1.37,2
34.0,0.593,23.0,0.555,64.0,1.37,2
34.0,0.59,23.0,0.56,64.0,1.368,2
34.0,0.515,23.0,0.555,64.0,1.318,2
19.0,0.28,27.0,0.13,35.0,0.49,1
19.0,0.27,27.0,0.126,35.0,0.53,1
19.0,0.27,27.0,0.125,35.0,0.55,1
19.0,0.28,27.0,0.106,35.0,0.51,1
19.0,0.28,27.0,0.1,35.0,0.5,1
19.0,0.27,27.0,0.126,35.0,0.565,1
19.0,0.26,27.0,0.125,35.0,0.53,1
19.0,0.32,27.0,0.128,35.0,0.565,1
19.0,0.33,27.0,0.1285,35.0,0.57,1
19.0,0.29,27.0,0.126,35.0,0.54,1
19.0,0.29,27.0,0.126,35.0,0.55,1
19.0,0.295,27.0,0.125,35.0,0.548,1
19.0,0.3,27.0,0.121,35.0,0.535,1
19.0,0.305,27.0,0.13,35.0,0.567,1
19.0,0.298,27.0,0.132,35.0,0.57,1
19.0,0.3,27.0,0.13,35.0,0.573,1
19.0,0.301,27.0,0.132,35.0,0.572,1
19.0,0.303,27.0,0.133,35.0,0.574,1
7.0,0.37,27.0,0.08,35.0,0.414,1
7.0,0.38,27.0,0.07,35.0,0.42,1
16.0,0.28,27.0,0.126,35.0,0.54,1
16.0,0.275,27.0,0.126,35.0,0.513,1
34.0,0.35,27.0,0.18,31.0,0.18,1
34.0,0.284,27.0,0.16,31.0,0.154,1
16.0,0.09,27.0,0.25,35.0,0.93,1
16.0,0.091,27.0,0.25,35.0,0.93,1
16.0,0.09,27.0,0.257,35.0,0.98,1
16.0,0.091,27.0,0.253,35.0,0.95,1
16.0,0.092,27.0,0.25,35.0,0.95,1
16.0,0.017,8.0,0.2,58.0,1.0,2
16.0,0.02,8.0,0.2,58.0,0.98,2
16.0,0.03,8.0,0.18,58.0,0.95,2
16.0,0.04,8.0,0.16,58.0,0.9,2
16.0,0.045,8.0,0.155,58.0,0.86,2
16.0,0.047,8.0,0.163,58.0,0.9,2
16.0,0.05,8.0,0.16,58.0,0.9,2
8.0,0.42,27.0,0.158,64.0,0.85,2
8.0,0.42,27.0,0.168,64.0,0.84,2
8.0,0.4,27.0,0.168,64.0,0.84,2
8.0,0.396,27.0,0.166,64.0,0.83,2
8.0,0.39,27.0,0.16,64.0,0.8,2
8.0,0.4,27.0,0.162,64.0,0.79,2
8.0,0.41,27.0,0.16,64.0,0.78,2
8.0,0.41,27.0,0.166,64.0,0.79,2
